,name,pid,duration
147,qtidataservices,2900,0.01247699999995433
148,elephonyservice,2901,0.003071999999995967
149,atisticsservice,2903,0.003360000000007801
150,d.process.acore,2911,2.247096999999968
151,id.ext.services,3340,0.021229999999960114
152,ecuritykeyboard,3353,0.0024730000000090513
153,m.oppo.tzupdate,3359,0.019767999999992014
154,ndroid.incallui,3393,0.0031109999999827664
155,.qcrilmsgtunnel,3321,0.04756200000001343
156,.gms.persistent,3497,1.358752999999929
157,Binder:3500_3,3500,0.00228100000000353
158,audioserver,1026,0.19022700000010673
159,oros.appmanager,2895,0.2718659999999531
160,ion-pool-uncach,118,0.00020600000001280705
161,ashmemd,1025,0.2747820000000658
162,kworker/5:1H,351,0.0011549999999900251
163,Binder:1292_2,1292,0.9905919999997863
164,Binder:1269_2,1269,0.0004760000000061382
165,assistantscreen,4772,0.2201670000000604
166,main,782,0.8361699999999672
167,msm_irqbalance,1684,0.0137110000000078
168,criticallog,1266,0.006561000000040451
169,qspmhal@1.0-ser,980,0.008203000000008842
170,olby.daxservice,4781,0.1539429999999271
171,ksoftirqd/7,69,0.0008299999999792362
172,HwBinder:1384_1,1384,0.06289800000001833
173,com.android.nfc,4785,0.31727800000003015
174,ksoftirqd/6,61,0.000529999999997699
175,mhelper_service,4790,0.07559600000000444
176,perfservice,1333,0.008129000000067776
177,qrtr_rx,1932,0.0017659999999892761
178,ultimedia.dolby,5075,0.20916099999994486
179,iders.downloads,6287,0.19008199999999675
180,android.smspush,6293,0.0792160000000095
181,er:clear_filter,6295,0.18097200000004676
182,id.printspooler,6296,0.09077900000003325
183,m.heytap.openid,6297,0.22852399999997886
184,com.android.se,5090,0.10899199999989406
185,dms@1.0-service,922,0.0110800000000566
186,o.ovoicemanager,5091,0.09979700000002367
187,allocator@1.0-s,898,0.003880000000002326
188,ndroid.location,5094,0.18887100000002732
189,ocess.gservices,5096,0.5061919999997784
190,nfc@1.2-service,923,0.014786000000043487
191,d.process.media,6397,1.5327160000000148
192,tbatt_pwroff,447,0.0009550000000260184
193,i.modemtestmode,6438,0.17222099999992935
194,ros.findmyphone,6440,0.14963599999990862
195,eytap.pictorial,2913,0.6476320000000655
196,main,783,0.16895700000004155
197,t.local.service,6452,0.09294299999994138
198,ell.wallet:temp,2914,0.4893630000000684
199,usap32,6496,0.004525999999998476
200,id.partnersetup,6527,0.12788000000002597
201,method.sogouoem,6531,1.436141000000113
202,loros.securepay,6533,0.15876499999998117
203,os.sceneservice,6550,0.8084149999999894
204,oloros.calendar,6553,0.5232839999999044
205,ndroid.keychain,6559,0.09969999999996304
206,helper:register,6563,0.11078499999999991
207,oros.activation,6562,0.17327500000000384
208,usap32,6572,0.004458999999997104
209,kworker/4:2,855,0.0002320000000111122
210,com.android.mms,2915,0.784218000000088
211,kauditd,79,0.0006619999999841752
212,ytap.usercenter,2916,0.21007299999995865
213,init,528,0.003075000000009709
214,adbd,6704,0.9786920000002013
215,irelesssettings,6720,0.170572999999969
216,loros.shortcuts,6733,0.16093799999999447
217,f2fs_gc-8:10,627,7.000000003642981e-06
218,com.oppo.logkit,6740,0.22169399999994965
219,f2fs_gc-253:8,527,4.100000000306636e-05
220,kworker/7:2,130,4.999999994481641e-06
221,upport.services,6748,0.10451400000006572
222,irq/346-aicl-do,443,2.7000000002885827e-05
223,e.process.gapps,6756,0.13678999999999775
